longitude,latitude,laci,newPlot
123.4159698,41.80778122,16789-67567924,0
123.4396362,41.80488968,16789-67200820,1
123.4312515,41.80846024,16789-67475508,2
123.4372406,41.7996788,16640-67195659,3
123.4344177,41.81195831,16789-67314199,4
123.4344177,41.81195831,16789-67313941,4
123.4121704,41.8152504,16789-67681055,5
123.4159698,41.80778122,16789-67567935,0
123.411911,41.81045914,16789-2614580,6
123.411911,41.81045914,16789-2614540,6
123.4159698,41.80778122,16789-67567923,0
123.4159698,41.80778122,16789-67567925,0
123.4159698,41.80778122,16789-67567884,0
123.4421463,41.8010788,16407-67197709,7
123.4359436,41.80569839,16789-67483956,8
123.4290314,41.81130981,16789-61397124,9
123.4128571,41.80469894,16789-67436852,10
123.4312515,41.80846024,16789-67475468,2
123.4320221,41.80392075,16789-67494925,11
123.4396362,41.80488968,16789-67200780,1
123.4344177,41.81195831,16789-67314198,4
123.4290314,41.81130981,16789-61397123,9
123.4262009,41.81328964,16789-67572236,12
123.4166718,41.8102417,16789-67291445,13
123.4003677,41.79272079,16655-67444532,14
123.4503174,41.78078079,16882-67181885,15
123.4378204,41.75955963,16402-67480097,16
123.4326324,41.76139069,16402-67468576,17
123.4354477,41.75598145,16402-67470348,18
123.3458862,41.53760147,16648-67297037,19
123.3352509,41.53427887,16648-12614532,20
123.3370209,41.51704025,16648-235023372,21
123.3370209,41.51704025,16648-235023371,21
123.3214417,41.69348907,16650-67562253,22
123.4439316,41.78248978,16882-67182655,23
123.4499664,41.78374863,16882-67183167,24
123.4061203,41.79851151,16655-67440397,25
123.4430695,41.77388,16647-67179021,26
123.4503174,41.78078079,16882-67181875,15
123.319313,41.70632172,16650-12959619,27
123.3497086,41.71292114,16650-12599685,28
123.3864212,41.516819,16648-2263052,29
123.3683319,41.71891022,16650-67522337,30
123.4503174,41.78078079,16882-67181835,15
123.3478012,41.55226898,16648-67297844,31
123.3301086,41.53659821,16648-235240717,32
123.4499664,41.78374863,16882-67183166,24
123.45047,41.77920914,16882-67181375,33
123.3372116,41.52492142,16648-54565704,34
123.3122177,41.56336975,16648-2192435,35
123.3982468,41.78939819,16655-67447564,36
123.4412384,41.76774979,16647-60669837,37
123.4528885,41.70713043,16650-61344132,38
123.33004,41.57017899,16648-67726859,39
123.4351273,41.69882965,16650-67532556,40
123.3740692,41.51490021,16648-67719693,41
123.3301086,41.53659821,16648-235240716,32
123.3819504,41.79463959,16794-2165300,42
123.4087296,41.80886078,16789-67567628,43
123.4078903,41.79399109,16655-61396356,44
123.40905,41.79639816,16655-67441676,45
123.4118195,41.79265976,16655-67444277,46
123.4088821,41.7910614,16401-67446323,47
123.4088821,41.7910614,16401-67446333,47
123.4087296,41.80886078,16789-67567668,43
123.4088821,41.7910614,16401-67446324,47
123.4084473,41.79283905,16655-235209238,48
123.40905,41.79639816,16655-67441716,45
123.4088821,41.7910614,16401-67446325,47
123.4161072,41.78958893,16401-67447357,49
123.3819504,41.79463959,16794-2165260,42
123.3872986,41.80065155,16887-67651380,50
123.4151917,41.79349136,16640-67443980,51
123.4151917,41.79349136,16640-67444030,51
123.409462,41.7925415,16655-235035926,52
123.4088821,41.7910614,16401-67446283,47
123.3762817,41.8028717,16794-67287820,53
123.4161072,41.78958893,16401-67447348,49
123.4118195,41.79265976,16655-67444286,46
123.4118195,41.79265976,16655-67444276,46
123.4078903,41.79399109,16655-61396276,44
123.40905,41.79639816,16655-67441727,45
123.4088821,41.7910614,16401-67446285,47
123.4161072,41.78958893,16401-67447308,49
123.4118195,41.79265976,16655-67444257,46
123.3704987,41.8051796,16794-67634996,54
123.4088821,41.7910614,16401-67446335,47
123.4087296,41.80886078,16789-67567667,43
123.4128494,41.81581116,16789-67587861,55
123.4119873,41.8078804,16789-67569931,56
123.4113693,41.81541061,16789-67679039,57
123.4136581,41.81689835,16789-67671870,58
123.4131699,41.81354904,16642-249676043,59
123.4008865,41.80546951,16642-249676044,60
123.3991394,41.82085037,16409-67652158,61
123.4143829,41.81169891,16789-67584309,62
123.4050827,41.81103134,16642-249676045,63
123.4087067,41.80638123,16789-249616139,64
123.4143829,41.81169891,16789-67584269,62
123.4136581,41.81689835,16789-67671821,58
123.4087296,41.80886078,16789-67567627,43
123.4168396,41.82715988,16644-67663667,65
123.4131699,41.82835007,16644-67302719,66
123.4109268,41.82249069,16644-67298622,67
123.4132919,41.82429123,16644-67663372,68
123.4301834,41.82373047,16644-2292020,69
123.4287491,41.82312012,16883-12929421,70
123.4427795,41.79285812,16640-67141428,71
123.4364624,41.79341888,16640-67657995,72
123.4385071,41.79291916,16640-67189536,73
123.4135971,41.82078171,16644-2538649,74
123.4133606,41.82601166,16644-67291147,75
123.4133606,41.82601166,16644-67291149,75
123.4094467,41.81962967,16644-67290932,76
123.418869,41.79587936,16640-67442209,77
123.4217072,41.80179977,16789-60120709,78
123.4168396,41.82715988,16644-67663679,65
123.4131699,41.81354904,16789-235162125,59
123.4228973,41.82117081,16644-67678751,79
123.4427795,41.79285812,16640-67141388,71
123.4133682,41.81906128,16644-67678261,80
123.4415131,41.79069901,16640-59982725,81
123.4133606,41.82601166,16644-67291187,75
123.4413986,41.79521179,16407-234984205,82
123.4087677,41.82728958,16644-67675700,83
123.4109268,41.82249069,16644-67298612,67
123.4168396,41.82715988,16644-67663677,65
123.4168396,41.82715988,16644-67663647,65
123.4118118,41.82775879,16644-2270476,84
123.415947,41.82638931,16644-61726606,85
123.415947,41.82638931,16644-61726605,85
123.4135971,41.82078171,16644-2538629,74
123.4314499,41.79272842,16640-67485236,86
123.4385071,41.79291916,16640-67189556,73
123.4172211,41.8232193,16644-60105861,87
123.4355469,41.81787872,16883-12929677,88
123.4248505,41.80847931,16789-67568141,89
123.418869,41.79587936,16640-67442208,77
123.4321518,41.79225922,16883-12941965,90
123.4131699,41.82835007,16644-67302717,66
123.4452972,41.79330063,16407-67190325,91
123.4135971,41.82078171,16644-2538647,74
123.4364777,41.81536865,16885-68042773,92
123.4435272,41.81632996,16885-234955553,93
123.7440491,41.87060928,16468-3990284,94
123.4362564,41.81409836,16789-234946611,95
123.9822388,41.91376114,16468-70594315,96
123.8424911,41.90208054,16468-70605325,97
123.4362564,41.81409836,16789-234946621,95
123.5701828,41.84872055,16410-67491853,98
123.8424911,41.90208054,16468-70605323,97
123.7372131,41.86552811,16471-237439787,99
123.4362564,41.81409836,16789-234946591,95
123.5129471,41.81296921,16398-67227709,100
123.5773392,41.84096146,16410-67962380,101
123.4498215,41.8127594,16885-67207692,102
123.4513474,41.80987167,16885-60295299,103
123.9071808,41.90761185,16468-13291532,104
123.79702,41.89694977,16468-70601484,105
122.8896332,41.51470947,16392-2287688,106
122.8960876,41.51839828,16392-67169077,107
122.8896332,41.51470947,16392-2287689,106
122.8896332,41.51470947,16392-2287679,106
122.8947372,41.51762009,16392-67281931,108
123.4119873,41.8078804,16789-67569932,56
122.8960876,41.51839828,16392-67169036,107
123.3034363,41.77828979,16404-60139396,109
122.9067917,41.52077866,16392-54556744,110
123.2350616,41.76229858,16389-2571019,111
123.40065,41.79916,16655-67684149,112
122.8960876,41.51839828,16392-67169037,107
122.8741531,41.50146866,16392-67167243,113
123.3013992,41.79296112,16654-249680947,114
123.2972031,41.79404068,16654-67981580,115
123.3987732,41.65663147,16648-67927603,116
123.3872604,41.68149948,16399-60684350,117
123.3922501,41.76182175,16788-2282804,118
123.3968201,41.77841949,16884-2270987,119
123.4054337,41.73435974,16650-67544628,120
123.3297577,41.79167938,16388-2494781,121
123.3355484,41.82492065,16888-67998516,122
123.3987732,41.65663147,16648-67927583,116
123.3987732,41.65663147,16648-67927613,116
123.3975372,41.7638588,16788-67467583,123
123.3119812,41.79444885,16654-61356164,124
123.2972031,41.79404068,16654-67981640,115
123.4074783,41.71160889,16650-2425867,125
123.4003372,41.748909,16788-67552565,126
123.2972031,41.79404068,16654-67981630,115
