imsi,start,end,startPlot,endPlot,startlatitude,startlongitude,endlatitude,endlongitude,type
460000095005561145,1538559097549,1538561699021,106,113,122.88963319999999,41.51470947,122.8741531,41.50146866,3.0
460000095005561145,1538561699021,1538563007506,113,110,122.8741531,41.50146866,122.90679170000001,41.52077866,3.0
460000095005561145,1538575290834,1538575735900,111,109,123.2350616,41.76229858,123.30343629999999,41.77828979,4.0
460000095005561145,1538575735900,1538576649640,109,112,123.30343629999999,41.77828979,123.40065,41.79916,4.0
460000095005561145,1538576649640,1538582145592,112,56,123.40065,41.79916,123.41198729999999,41.8078804,4.0
460000095005565778,1538530876482,1538530931657,116,1306,123.39877320000001,41.65663147,123.4041519,41.65242004,4.0
460000095005565778,1538530931657,1538530947516,1306,1309,123.4041519,41.65242004,123.40724180000001,41.6687088,4.0
460000095005565778,1538530947516,1538531710113,1309,829,123.40724180000001,41.6687088,123.3996277,41.69952011,4.0
460000095005565778,1538531710113,1538531779144,829,1224,123.3996277,41.69952011,123.3918686,41.71324921,4.0
460000095005565778,1538531779144,1538532530941,1224,916,123.3918686,41.71324921,123.3974915,41.79610062,4.0
460000095005565778,1538532096839,1538533142986,916,806,123.3974915,41.79610062,123.38919070000001,41.78546906,4.0
460000095005565778,1538533142986,1538533382375,806,274,123.38919070000001,41.78546906,123.40197749999999,41.78142166,4.0
460000095005565778,1538533382375,1538538602445,274,536,123.40197749999999,41.78142166,123.41152949999999,41.76802826,4.0
460000095005565778,1538546749370,1538547628927,536,535,123.41152949999999,41.76802826,123.4357605,41.77159119,4.0
460000095005565778,1538547628927,1538550837253,535,1305,123.4357605,41.77159119,123.41596979999998,41.7686615,4.0
460000095005565778,1538568567275,1538573184897,536,1074,123.41152949999999,41.76802826,123.4073486,41.77185059,4.0
460000095005565778,1538572798142,1538574860376,1308,809,123.41349790000001,41.78467178,123.41928100000001,41.80438995,4.0
460000095005571676,1538505985496,1538510992360,65,663,123.41683959999999,41.82715988,123.39129640000002,41.86468887,4.0
460000095007329090,1538498482636,1538501287191,6,0,123.411911,41.81045914,123.41596979999998,41.80778122,3.0
460000095007329090,1538523400725,1538523581221,0,13,123.41596979999998,41.80778122,123.41667179999999,41.8102417,3.0
460000095007329090,1538575066000,1538581892720,6,0,123.411911,41.81045914,123.41596979999998,41.80778122,3.0
460000095007687263,1538540190390,1538543929467,116,134,123.39877320000001,41.65663147,123.39569850000001,41.66041946,3.0
460000095007687263,1538543929467,1538543996674,134,116,123.39569850000001,41.66041946,123.39877320000001,41.65663147,3.0
460000095007687263,1538546286389,1538547514780,116,117,123.39877320000001,41.65663147,123.3872604,41.68149948,4.0
460000095007687263,1538547514780,1538547748963,117,127,123.3872604,41.68149948,123.4100418,41.71696854,4.0
460000095007687263,1538547748963,1538547999575,127,120,123.4100418,41.71696854,123.4054337,41.73435974,4.0
