imsi,longitude,latitude,start,end,startPlot,endPlot
460000095005561145,122.88963319999999,41.51470947,1538508443086,1538508443086,106,106
460000095005561145,122.89440832,41.5170233,1538559097549.0,1538563007506.0,107.0,110.0
460000095005561145,122.89500728,41.51777573,1538565120612.0,1538573050048.0,108.0,107.0
460000095005561145,123.2350616,41.76229858,1538575290834,1538575290834,111,111
460000095005561145,123.30343629999999,41.77828979,1538575735900,1538575735900,109,109
460000095005561145,123.40065,41.79916,1538576649640,1538576649640,112,112
460000095005561145,123.41198729999999,41.8078804,1538578125445,1538578125445,56,56
460000095005561145,123.41198729999999,41.8078804,1538578725451,1538578725451,56,56
460000095005561145,123.41198729999999,41.8078804,1538578739839,1538578739839,56,56
460000095005561145,123.41198729999999,41.8078804,1538579250187,1538579250187,56,56
460000095005561145,123.41198729999999,41.8078804,1538580686688,1538580686688,56,56
460000095005561145,123.40872959999999,41.80886078,1538582002656,1538582002656,43,43
460000095005561145,123.40872959999999,41.80886078,1538582145592,1538582145592,43,43
460000095005565778,123.39877320000001,41.65663147,1538530876482,1538530876482,116,116
460000095005565778,123.4041519,41.65242004,1538530931657,1538530931657,1306,1306
460000095005565778,123.40724180000001,41.6687088,1538530947516,1538530947516,1309,1309
460000095005565778,123.3996277,41.69952011,1538531710113,1538531710113,829,829
460000095005565778,123.3918686,41.71324921,1538531779144,1538531779144,1224,1224
460000095005565778,123.3974915,41.79610062,1538532096839,1538532096839,916,916
460000095005565778,123.3974915,41.79610062,1538532258377,1538532258377,916,916
460000095005565778,123.3974915,41.79610062,1538532530941,1538532530941,916,916
460000095005565778,123.38919070000001,41.78546906,1538533142986,1538533142986,806,806
460000095005565778,123.40197749999999,41.78142166,1538533382375,1538533382375,274,274
460000095005565778,123.41152949999999,41.76802826,1538535679885,1538535679885,536,536
460000095005565778,123.41152949999999,41.76802826,1538536040565,1538536040565,536,536
460000095005565778,123.41152949999999,41.76802826,1538536893951,1538536893951,536,536
460000095005565778,123.41152949999999,41.76802826,1538538602445,1538538602445,536,536
460000095005565778,123.41152949999999,41.76802826,1538546749370,1538546749370,536,536
460000095005565778,123.4357605,41.77159119,1538547628927,1538547628927,535,535
460000095005565778,123.41596979999998,41.7686615,1538550213088,1538550213088,1305,1305
460000095005565778,123.41152949999999,41.76802826,1538550214936,1538550214936,536,536
460000095005565778,123.41152949999999,41.76802826,1538550226803,1538550226803,536,536
460000095005565778,123.41152949999999,41.76802826,1538550837253,1538550837253,536,536
460000095005565778,123.41152949999999,41.76802826,1538553637325,1538553637325,536,536
460000095005565778,123.41152949999999,41.76802826,1538553876126,1538553876126,536,536
460000095005565778,123.41152949999999,41.76802826,1538554368579,1538554368579,536,536
460000095005565778,123.41152949999999,41.76802826,1538555189316,1538555189316,536,536
460000095005565778,123.41152949999999,41.76802826,1538564180287,1538564180287,536,536
460000095005565778,123.41152949999999,41.76802826,1538565618013,1538565618013,536,536
460000095005565778,123.41152949999999,41.76802826,1538568567275,1538568567275,536,536
460000095005565778,123.4073486,41.77185059,1538572798142,1538572798142,1074,1074
460000095005565778,123.41680149999999,41.77732849,1538573093994,1538573093994,1307,1307
460000095005565778,123.41349790000001,41.78467178,1538573184897,1538573184897,1308,1308
