,imsi,longitude,latitude,newPlot,start,end,stayTime,home,work
0,460000095005561145,122.8923828,41.51546783,106.0,2018-10-03 17:31:37.549,2018-10-03 18:36:47.506,65.16595,False,False
1,460000095005561145,122.89500728,41.51777573,108.0,2018-10-03 19:12:00.612,2018-10-03 21:24:10.048,132.15726666666666,False,False
2,460000095005561145,123.40975571,41.80703544,667.0,2018-10-03 22:24:09.640,2018-10-03 23:55:45.592,91.59920000000001,True,False
4,460000095005565778,123.39672854,41.79103852,1082.0,2018-10-03 10:01:36.839,2018-10-03 10:23:02.375,21.4256,False,True
5,460000095005565778,123.41152949999999,41.76802826,536.0,2018-10-03 11:01:19.885,2018-10-03 11:50:02.445,48.70933333333333,False,True
7,460000095005565778,123.41152949999999,41.76802826,536.0,2018-10-03 16:00:37.325,2018-10-03 16:26:29.316,25.866516666666666,False,True
9,460000095005565778,123.41342547,41.80504227,10.0,2018-10-03 21:32:36.091,2018-10-03 21:54:20.376,21.738083333333336,True,False
10,460000095005565778,123.4091475,41.80627187,64.0,2018-10-03 22:28:29.867,2018-10-03 23:20:45.696,52.26381666666667,True,False
11,460000095005571676,123.41535356,41.81207361,62.0,2018-10-03 00:02:12.709,2018-10-03 04:17:23.546,255.18061666666665,True,False
12,460000095005571676,123.41712406,41.81531988,661.0,2018-10-03 10:26:13.368,2018-10-03 12:34:08.434,127.91776666666667,False,False
13,460000095005571676,123.41687717,41.82067685,513.0,2018-10-03 13:56:48.932,2018-10-03 19:15:54.415,319.09138333333334,False,False
14,460000095005571676,123.41667179999999,41.8102417,13.0,2018-10-03 20:00:40.415,2018-10-03 21:07:11.681,66.5211,True,False
15,460000095005571676,123.41422884,41.80623296,908.0,2018-10-03 21:41:45.291,2018-10-03 23:49:02.306,127.28358333333334,True,False
17,460000095007329090,123.43677773,41.80478223,587.0,2018-10-03 07:36:40.725,2018-10-03 09:54:53.114,138.20648333333332,False,False
18,460000095007329090,123.42663682,41.81153815,12.0,2018-10-03 18:57:06.001,2018-10-03 21:06:12.888,129.11478333333332,False,False
19,460000095007329090,123.41394040000002,41.80912018,908.0,2018-10-03 21:57:46.000,2018-10-03 22:19:55.802,22.163366666666665,True,False
20,460000095007329090,123.41565853,41.80747299,0.0,2018-10-03 22:55:53.370,2018-10-03 23:51:32.720,55.655833333333334,True,False
21,460000095007687263,123.39877320000001,41.65663147,116.0,2018-10-03 04:44:13.759,2018-10-03 06:12:13.791,88.00053333333334,True,False
22,460000095007687263,123.39877320000001,41.65663147,116.0,2018-10-03 09:22:01.771,2018-10-03 09:41:20.957,19.319766666666666,False,True
25,460000095007687263,123.29924319,41.79404984,115.0,2018-10-03 17:48:30.761,2018-10-03 20:07:38.237,139.12460000000002,False,False
26,460000095007687263,123.40919499,41.80872073,43.0,2018-10-03 20:36:54.081,2018-10-03 21:35:50.756,58.944583333333334,True,False
27,460000095007687263,123.40889299,41.80861314,43.0,2018-10-03 22:12:05.651,2018-10-03 23:22:10.279,70.07713333333332,True,False
29,460000095009768355,123.41305098,41.80240017,1050.0,2018-10-03 10:55:51.406,2018-10-03 13:58:06.489,182.25138333333334,False,False
31,460000095009768355,123.31398557,41.76725442,289.0,2018-10-03 15:12:31.462,2018-10-03 15:49:01.638,36.50293333333333,False,True
32,460000095009768355,123.35733564,41.77844887,681.0,2018-10-03 16:02:28.413,2018-10-03 17:36:52.209,94.3966,False,False
34,460000095009824436,123.39672788,41.81747341,783.0,2018-10-03 09:04:45.325,2018-10-03 10:10:05.177,65.33086666666667,False,True
36,460000095009824436,123.41596979999998,41.80778122,0.0,2018-10-03 13:40:42.206,2018-10-03 15:31:20.905,110.64498333333333,False,False
38,460000095009824436,123.41596979999998,41.80778122,0.0,2018-10-03 18:02:50.802,2018-10-03 18:32:56.927,30.102083333333333,False,False
39,460000095009824436,123.41596979999998,41.80778122,0.0,2018-10-03 19:38:53.378,2018-10-03 20:57:42.098,78.812,False,False
40,460000095018240151,123.4136581,41.81689835,58.0,2018-10-03 00:09:01.741,2018-10-03 02:05:31.199,116.49096666666667,True,False
41,460000095018240151,123.3992013,41.80226046,478.0,2018-10-03 03:08:03.474,2018-10-03 14:44:24.428,696.3492333333332,False,False
45,460000095018240151,123.41408863,41.8159474,58.0,2018-10-03 17:57:31.989,2018-10-03 19:08:24.876,70.88145,False,False
46,460000095018240151,123.41420605,41.81568805,58.0,2018-10-03 22:06:17.005,2018-10-03 23:54:46.395,108.48983333333334,True,False
47,460000095040541608,123.39118295,41.8093845,465.0,2018-10-03 04:46:06.635,2018-10-03 06:46:17.638,120.18338333333332,True,False
50,460000095040591270,123.40467453,41.81362088,1318.0,2018-10-03 10:25:31.174,2018-10-03 10:50:44.263,25.218149999999998,False,True
51,460000095040591270,123.31288149999999,41.84870911,800.0,2018-10-03 11:28:29.575,2018-10-03 11:45:18.523,16.8158,False,True
52,460000095040591270,123.31288149999999,41.84870911,800.0,2018-10-03 12:31:17.967,2018-10-03 16:21:53.735,230.59613333333334,False,False
54,460000095040591270,123.40216059999999,41.8132515,756.0,2018-10-03 22:53:49.855,2018-10-03 23:55:29.208,61.655883333333335,True,False
56,460000095057074060,123.4378876,41.81556091,92.0,2018-10-03 06:59:11.923,2018-10-03 07:21:53.645,22.695366666666665,False,False
57,460000095057074060,123.44041336,41.81366621,633.0,2018-10-03 07:53:14.905,2018-10-03 08:15:24.336,22.157183333333332,False,False
58,460000095060523239,123.39301219,41.81896993,1047.0,2018-10-03 00:01:00.368,2018-10-03 00:31:44.955,30.743116666666666,True,False
59,460000095060523239,123.36777258,41.85742378,755.0,2018-10-03 00:35:13.700,2018-10-03 00:50:32.263,15.309383333333333,True,False
60,460000095060523239,123.31312913,41.80391157,748.0,2018-10-03 00:52:30.120,2018-10-03 01:57:52.909,65.37981666666667,True,False
61,460000095060523239,123.3007235,41.79072026,722.0,2018-10-03 14:25:44.340,2018-10-03 15:07:18.278,41.56563333333334,False,True
62,460000095060523239,123.3743463,41.79761488,258.0,2018-10-03 15:55:07.999,2018-10-03 17:23:50.063,88.70106666666668,False,False
63,460000095060523239,123.42222849999999,41.83087285,730.0,2018-10-03 18:22:58.391,2018-10-03 18:41:56.849,18.974300000000003,False,False
65,460000095060523239,123.35453704,41.79200623,1376.0,2018-10-03 20:07:46.396,2018-10-03 21:47:04.972,99.3096,True,False
66,460000095060523239,123.34235128,41.77503967,670.0,2018-10-03 21:55:59.109,2018-10-03 22:14:41.781,18.7112,True,False
67,460000095060523239,123.38509704,41.814033200000004,634.0,2018-10-03 22:23:29.516,2018-10-03 23:15:32.575,52.050983333333335,True,False
68,460000095060523239,123.35763968,41.84169631,485.0,2018-10-03 23:23:14.386,2018-10-03 23:39:43.935,16.492483333333332,True,False
71,460000095062189004,123.41287401,41.80635537,10.0,2018-10-03 00:24:35.589,2018-10-03 00:54:48.857,30.221133333333334,True,False
72,460000095062225863,123.49826812,41.63830414,1326.0,2018-10-03 18:54:06.113,2018-10-03 19:22:33.126,28.450216666666666,False,False
74,460000095062225863,123.40872959999999,41.80886078,43.0,2018-10-03 20:48:20.057,2018-10-03 21:16:32.152,28.201583333333335,True,False
75,460000095062225863,123.40872706,41.80858527,43.0,2018-10-03 22:04:30.052,2018-10-03 22:36:49.767,32.328583333333334,True,False
76,460000095062225863,123.40165489,41.78187343,274.0,2018-10-03 23:04:41.759,2018-10-03 23:22:22.824,17.684416666666667,True,False
78,460000095063856923,123.4176331,41.89228821,934.0,2018-10-03 00:48:14.468,2018-10-03 03:24:40.634,156.43609999999998,True,False
80,460000095063856923,123.42252350000001,41.82743073,576.0,2018-10-03 07:45:23.520,2018-10-03 08:35:32.702,50.15303333333333,False,False
81,460000095063856923,123.42252350000001,41.82743073,576.0,2018-10-03 09:48:09.916,2018-10-03 10:33:31.262,45.35576666666667,False,True
82,460000095063856923,123.42252350000001,41.82743073,576.0,2018-10-03 11:15:39.204,2018-10-03 12:06:16.646,50.62403333333334,False,False
83,460000095063856923,123.42252350000001,41.82743073,576.0,2018-10-03 13:36:00.310,2018-10-03 14:27:54.527,51.90361666666667,False,False
84,460000095063856923,123.42252350000001,41.82743073,576.0,2018-10-03 16:55:50.090,2018-10-03 17:44:27.200,48.618500000000004,False,False
85,460000095063856923,123.42315064,41.82749634,576.0,2018-10-03 20:19:19.991,2018-10-03 20:38:07.562,18.792849999999998,True,False
86,460000095063856923,123.41854652,41.8201672,513.0,2018-10-03 22:56:40.561,2018-10-03 23:48:46.441,52.098,True,False
87,460000095063881983,123.41720073,41.80437596,253.0,2018-10-03 22:26:28.630,2018-10-03 22:45:26.665,18.96725,True,False
89,460000095063979850,123.17385552,41.75098926,1330.0,2018-10-03 10:34:12.062,2018-10-03 13:21:20.619,167.14261666666667,False,False
93,460000095063979850,122.9801432,41.98112551,1353.0,2018-10-03 14:04:57.182,2018-10-03 14:38:04.621,33.123983333333335,False,True
94,460000095063979850,123.01753025,41.95758403,152.0,2018-10-03 14:09:09.114,2018-10-03 14:43:50.137,34.68371666666667,False,True
98,460000095063979850,123.48572858,41.80051748,1328.0,2018-10-03 17:05:01.395,2018-10-03 23:56:10.083,411.1448,False,False
100,460000095064919090,123.40951918,41.79217020000001,52.0,2018-10-03 19:42:55.395,2018-10-03 22:19:24.360,156.48275,False,False
102,460000095064990351,123.40498809,41.83195053,1250.0,2018-10-03 07:52:21.648,2018-10-03 12:04:35.785,252.2356166666667,False,False
103,460000095064990351,123.40776709,41.81579857,952.0,2018-10-03 14:52:12.735,2018-10-03 16:52:29.593,120.28096666666667,False,True
104,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 00:15:21.424,2018-10-03 00:43:54.686,28.554366666666667,True,False
106,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 04:04:30.934,2018-10-03 05:21:49.899,77.31608333333334,True,False
107,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 07:01:45.850,2018-10-03 08:01:32.510,59.77766666666666,False,False
108,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 09:44:49.046,2018-10-03 10:32:38.751,47.82841666666666,False,True
109,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 11:26:38.395,2018-10-03 12:54:26.416,87.80035,False,False
110,460000095071779102,123.41266823,41.82351843,68.0,2018-10-03 13:24:36.098,2018-10-03 13:49:17.638,24.692333333333334,False,False
111,460000095071779102,123.41333466,41.82551269,75.0,2018-10-03 15:37:32.804,2018-10-03 16:36:14.957,58.702549999999995,False,True
113,460000095071779102,123.41011431,41.81117707,1236.0,2018-10-03 18:47:09.312,2018-10-03 20:06:46.569,79.62095,False,False
114,460000095071779102,123.41336820000001,41.81906128,80.0,2018-10-03 20:41:11.471,2018-10-03 21:25:27.822,44.27251666666667,True,False
115,460000095071779102,123.41429140000001,41.83049011,1062.0,2018-10-03 22:03:09.801,2018-10-03 22:42:41.600,39.529983333333334,True,False
117,460000095073912558,123.4068375,41.81980896,718.0,2018-10-03 03:08:51.530,2018-10-03 05:25:44.071,136.8756833333333,True,False
118,460000095073912558,123.40628161,41.82062476,1095.0,2018-10-03 13:21:25.288,2018-10-03 14:05:28.205,44.04861666666667,False,False
119,460000095073912558,123.4024778,41.82126944,1096.0,2018-10-03 14:39:27.903,2018-10-03 15:17:19.938,37.86725,False,True
120,460000095073912558,123.41384987,41.803451700000004,1050.0,2018-10-03 18:05:32.656,2018-10-03 20:46:11.474,160.64696666666666,False,False
121,460000095073912558,123.40857697,41.81968943,76.0,2018-10-03 23:23:57.735,2018-10-03 23:54:58.436,31.011683333333334,True,False
124,460000095074423059,123.34024659,41.53269119,20.0,2018-10-03 10:16:53.180,2018-10-03 11:11:02.647,54.157783333333334,False,True
125,460000095074423059,123.34234109999998,41.53649394,19.0,2018-10-03 11:58:01.586,2018-10-03 12:32:30.874,34.48813333333333,False,False
